prolific_pid,gender,age,score,trait,fbaccount,fbfrequency,fblogin,device,browser,attention_check
611b5a2fdc6f27757bee886dbe7ef0b6cc2b23e2e7a0f62a1b22353b3f9f75e1,m,36,39,none,yes,daily,no,desktop,Chrome,5.0
2802be151d743a9fda38a84bd55f85fe57045c3b6693abd5846b17bd49543ed1,f,35,12,introvert,yes,daily,no,desktop,Chrome,5.0
489298f836aa7b8d78e2414e351499e966726e514d0453c56900477eb2604714,m,45,80,extrovert,yes,daily,yes,desktop,Chrome,5.0
e76fdd521ca528c3ad3ba2a3d2478cfb951954febeccc85e051bd7f6add01a80,f,40,47,none,yes,daily,no,desktop,Chrome,5.0
b4591c8a04bd0fd2526d8d2fdb20ca855afb666a80f7fcc56e4b535d6bb093a0,f,43,35,none,yes,daily,yes,desktop,Chrome,5.0
3e2b35f592dff6fa18ec553b6fca63c4875ded6dd8ea3ca537babb0a860c57af,m,55,5,introvert,yes,daily,no,desktop,Chrome,5.0
7e85aa9ba9e6cb95205a294641427c7b34d60b7daf61078699751d661ed0092f,m,41,29,introvert,yes,daily,yes,desktop,Chrome,5.0
97629e0c221de7057fd8a861143ddc6bd532e5eed1c6bf0311eff4059ed99eb8,m,21,16,introvert,yes,daily,yes,desktop,Chrome,5.0
2135ebd04419e06ccdea3664739099e310e1526d01fbeeba1c4141775f8e4b69,m,33,49,none,yes,weekly,no,desktop,Chrome,3.0
6838b1263fc65f49a25eb21b9a309989fcc0b30b2735d22df8394bfa66d717ce,f,35,42,none,yes,daily,no,desktop,Chrome,5.0
444b539bb62e807554ab44dc58c3aaa43d20213ee7622c26e8b22b08ce24f174,m,58,58,none,yes,daily,no,desktop,Chrome,4.0
f228cc6334a12845c96cb462daff13bcf5cfc25326c5432b8e2ba95abd350928,m,39,50,none,yes,daily,yes,desktop,Chrome,5.0
898fb9a94047c8f278af23d5900f87498aa583bb90271035999fa621181cc202,f,39,5,introvert,yes,daily,no,desktop,Chrome,5.0
202a7038ef838ac1eaf098336b17b8c26f21354c31dac6ec47cfe50f1b67317c,m,64,19,introvert,yes,daily,no,desktop,Chrome,5.0
147e60ef596c5a2cc9c6f6898b349eb08ca0687dd0b4ce132673408353188a49,m,32,38,none,yes,daily,no,desktop,Chrome,5.0
6c5885275626beb3f447f83c8accc11caa7accb8e56cfab02989059d61237618,f,28,48,none,yes,monthly,yes,desktop,Chrome,4.0
c78dbec71e80b98cd1a3ee3a483d38ec1adbe0220443db5aaed811280815ebe0,m,31,3,introvert,yes,daily,yes,desktop,Chrome,5.0
a0f9ddec41116060d39d33a4f3a94468e1fa34a3790f305d8b3e5581bcba3978,m,34,84,extrovert,yes,daily,no,desktop,Chrome,5.0
